team_batting_avg,team_strike_rate,team_bowling_avg,team_economy,team_size,venue_avg_runs,venue_runs_std,venue_matches,team_balance,venue_advantage,opposition_strength,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,total_runs
25.0,120.0,30.0,7.0,11,150.5,27.86,4,0.8333333333333334,0.7375415282392026,23.090714285714284,0,121,20.166666666666668,5.504132231404959,12,8,0,8,111
25.0,120.0,30.0,7.0,11,127.75,56.41,4,0.8333333333333334,0.7906066536203522,23.090714285714284,0,120,20.0,5.05,2,8,2,10,101
25.0,120.0,30.0,7.0,11,127.75,56.41,4,0.8333333333333334,0.4774951076320939,19.154895833333335,0,79,13.166666666666666,4.632911392405063,2,7,0,7,61
25.0,120.0,30.0,7.0,11,128.0,51.23,4,0.8333333333333334,0.8828125,23.090714285714284,0,123,20.5,5.512195121951219,6,9,1,10,113
25.0,120.0,30.0,7.0,11,128.0,51.23,4,0.8333333333333334,0.515625,19.154895833333335,0,100,16.666666666666668,3.96,4,4,0,4,66
25.0,120.0,30.0,7.0,11,61.0,2.83,2,0.8333333333333334,0.9672131147540983,23.090714285714284,0,122,20.33333333333333,2.9016393442622954,2,5,0,5,59
25.0,120.0,30.0,7.0,11,61.0,2.83,2,0.8333333333333334,1.0327868852459017,21.68125,0,49,8.166666666666666,7.714285714285714,0,8,1,9,63
31.47,144.72,26.2,6.55,11,85.25,23.11,4,1.201145038167939,1.219941348973607,23.5875,0,126,21.0,4.9523809523809526,8,9,1,10,104
10.25,102.5,39.18,6.38,11,85.25,23.11,4,0.2616130678917815,1.2434017595307918,17.625,0,87,14.5,7.310344827586207,3,10,4,14,106
23.97,103.42,30.0,7.0,11,99.75,44.93,4,0.7989999999999999,1.6641604010025062,27.72,0,126,21.0,7.904761904761905,14,7,10,17,166
25.0,120.0,30.0,7.0,11,99.75,44.93,4,0.8333333333333334,0.6616541353383458,25.0,0,96,16.0,4.125,7,3,2,5,66
31.47,144.72,26.2,6.55,11,85.25,23.11,4,1.201145038167939,0.7155425219941349,27.72,0,73,12.166666666666666,5.013698630136987,3,5,0,5,61
25.0,120.0,30.0,7.0,11,85.25,23.11,4,0.8333333333333334,0.8211143695014663,17.625,0,61,10.166666666666666,6.885245901639345,2,5,1,6,70
10.25,102.5,39.18,6.38,11,99.75,44.93,4,0.2616130678917815,0.8320802005012531,10.25,0,114,19.0,4.368421052631579,8,6,0,6,83
15.704999999999998,97.765,26.79,7.840000000000001,11,99.75,44.93,4,0.5862262038073908,0.8421052631578947,23.5875,0,82,13.666666666666666,6.146341463414634,8,7,2,9,84
25.0,120.0,30.0,10.0,11,128.5,5.54,6,0.8333333333333334,1.0116731517509727,25.0,0,130,21.666666666666668,6.0,12,10,0,10,130
25.0,120.0,30.0,7.0,11,128.5,5.54,6,0.8333333333333334,0.9649805447470817,25.0,0,133,22.166666666666668,5.593984962406015,17,10,0,10,124
25.0,120.0,30.0,10.0,11,128.5,5.54,6,0.8333333333333334,1.0038910505836576,25.0,0,134,22.33333333333333,5.776119402985075,21,4,0,4,129
25.0,120.0,30.0,7.0,11,128.5,5.54,6,0.8333333333333334,1.0116731517509727,25.0,0,119,19.83333333333333,6.5546218487394965,22,9,0,9,130
25.0,120.0,30.0,7.0,11,128.5,5.54,6,0.8333333333333334,1.066147859922179,25.0,0,139,23.166666666666668,5.913669064748201,20,10,0,10,137
25.0,120.0,30.0,10.0,11,128.5,5.54,6,0.8333333333333334,0.9416342412451362,25.0,0,131,21.83333333333333,5.541984732824428,16,7,0,7,121
24.805,126.9175,69.42999999999999,7.356,11,133.75,22.07,4,0.3572663113927697,0.8598130841121495,20.8624,0,126,21.0,5.476190476190476,9,9,3,12,115
18.602,132.6233333333333,32.727999999999994,5.488,11,133.75,22.07,4,0.5683818137374727,0.8672897196261682,21.615333333333336,0,90,15.0,7.733333333333333,5,13,4,17,116
18.602,132.6233333333333,32.727999999999994,5.488,11,133.75,22.07,4,0.5683818137374727,1.1962616822429906,21.615333333333336,0,125,20.83333333333333,7.680000000000001,15,13,2,15,160
24.805,126.9175,69.42999999999999,7.356,11,133.75,22.07,4,0.3572663113927697,1.0766355140186916,20.8624,0,129,21.5,6.697674418604652,13,13,3,16,144
24.702,126.61,64.2075,6.953333333333333,11,105.5,3.54,2,0.38472141105011104,0.976303317535545,20.8624,0,121,20.166666666666668,5.107438016528925,4,6,1,7,103
17.58,129.98600000000002,28.3325,5.5325,11,105.5,3.54,2,0.6204888379069972,1.0236966824644549,21.615333333333336,0,93,15.5,6.967741935483871,6,10,1,11,108
25.0,120.0,30.0,7.0,11,111.0,9.9,2,0.8333333333333334,1.063063063063063,20.8624,0,128,21.33333333333333,5.53125,9,11,0,11,118
18.686666666666664,121.10666666666668,30.28,7.5,11,111.0,9.9,2,0.6171290180537207,0.9369369369369369,19.154895833333335,0,128,21.33333333333333,4.875,12,10,0,10,104
33.065,120.225,30.0,7.0,11,131.0,27.55,6,1.1021666666666665,0.9389312977099237,21.688333333333333,0,122,20.33333333333333,6.049180327868853,4,6,4,10,123
8.4125,79.69500000000001,25.92,5.87,11,131.0,27.55,6,0.3245563271604938,0.6412213740458015,6.83125,0,104,17.333333333333332,4.846153846153847,4,6,1,7,84
25.0,120.0,30.0,7.0,11,131.75,32.67,4,0.8333333333333334,0.7969639468690702,21.00638888888889,0,121,20.166666666666668,5.206611570247934,1,9,1,10,105
5.25,68.75,46.53,4.28,11,131.75,32.67,4,0.11283043197936815,0.8197343453510436,6.83125,0,86,14.333333333333334,7.534883720930233,3,10,6,16,108
25.0,120.0,30.0,7.0,11,131.0,27.55,6,0.8333333333333334,0.9847328244274809,21.688333333333333,0,125,20.83333333333333,6.192,12,8,5,13,129
8.4125,79.69500000000001,25.92,5.87,11,131.0,27.55,6,0.3245563271604938,1.015267175572519,6.83125,0,95,15.833333333333334,8.4,3,16,3,19,133
29.606666666666666,128.75333333333336,50.31,5.31,11,131.75,32.67,4,0.5884847280196117,1.3282732447817838,21.00638888888889,0,121,20.166666666666668,8.677685950413222,1,11,12,23,175
5.25,68.75,46.53,4.28,11,131.75,32.67,4,0.11283043197936815,1.0550284629981024,6.83125,0,122,20.33333333333333,6.836065573770492,3,13,3,16,139
8.4125,79.69500000000001,25.92,5.87,11,131.0,27.55,6,0.3245563271604938,1.2061068702290076,21.00638888888889,0,122,20.33333333333333,7.770491803278689,6,11,7,18,158
7.0,87.5,46.53,4.28,11,131.0,27.55,6,0.15044057597249086,1.213740458015267,21.688333333333333,0,121,20.166666666666668,7.884297520661157,6,14,6,20,159
25.0,120.0,30.0,7.0,11,80.5,0.71,2,0.8333333333333334,0.9937888198757764,25.0,0,127,21.166666666666668,3.779527559055118,8,4,2,6,80
25.0,120.0,30.0,7.0,11,80.5,0.71,2,0.8333333333333334,1.0062111801242235,25.0,0,96,16.0,5.0625,27,5,1,6,81
5.0,71.42,20.73,4.61,11,112.5,12.02,2,0.241196333815726,1.0755555555555556,20.8624,0,128,21.33333333333333,5.671875,9,7,3,10,121
18.686666666666664,115.83,34.660000000000004,6.965,11,112.5,12.02,2,0.5391421427197537,0.9244444444444444,19.297753086419753,0,123,20.5,5.073170731707317,5,8,0,8,104
22.9175,121.315,56.295,5.175,11,203.0,33.94,2,0.4070965449862332,1.1182266009852218,16.278750000000002,0,125,20.83333333333333,10.896,9,16,11,27,227
14.106666666666667,98.37333333333332,34.39,5.375,11,203.0,33.94,2,0.41019676262479404,0.8817733990147784,17.527222222222225,0,124,20.666666666666668,8.661290322580644,6,15,9,24,179
20.6825,135.32,50.45,5.756666666666668,11,183.0,21.05,12,0.4099603567888999,1.0273224043715847,22.061875,0,129,21.5,8.744186046511627,17,15,8,23,188
25.0,120.0,30.0,7.0,11,183.0,21.05,12,0.8333333333333334,1.0163934426229508,20.16375,0,124,20.666666666666668,9.0,20,10,8,18,186
21.426666666666662,123.56666666666666,22.04,5.19,11,164.33,17.87,6,0.9721718088324257,1.1683806973772286,21.35833333333333,0,126,21.0,9.142857142857142,10,16,7,23,192
25.0,120.0,30.0,7.0,11,164.33,17.87,6,0.8333333333333334,0.8519442585042293,18.569375,0,124,20.666666666666668,6.774193548387096,6,9,2,11,140
18.61,116.61,33.49,5.505999999999999,11,165.2,13.27,5,0.5556882651537772,1.0108958837772397,20.409166666666668,0,122,20.33333333333333,8.213114754098362,12,16,5,21,167
25.0,120.0,30.0,7.0,11,165.2,13.27,5,0.8333333333333334,0.87772397094431,23.117500000000003,0,122,20.33333333333333,7.131147540983607,4,9,4,13,145
26.15,122.37,30.0,5.0,11,165.6,15.06,5,0.8716666666666666,1.0990338164251208,21.571666666666665,0,123,20.5,8.878048780487806,9,18,4,22,182
26.735000000000003,136.5575,31.87333333333333,5.666666666666667,11,165.6,15.06,5,0.8387889562852962,1.0990338164251208,20.350625,0,121,20.166666666666668,9.024793388429751,2,17,10,27,182
22.42,132.64,31.12,5.275,11,162.83,19.22,6,0.7204370179948586,0.9334889148191364,18.54416666666667,0,123,20.5,7.414634146341464,9,15,2,17,152
9.64,94.175,41.0,4.76,11,162.83,19.22,6,0.2351219512195122,0.939630289258736,12.0,0,117,19.5,7.846153846153846,8,16,2,18,153
21.29,97.83,35.98,5.53,11,183.0,21.05,12,0.5917176209005003,0.9781420765027322,21.506875,0,124,20.666666666666668,8.661290322580644,9,21,3,24,179
10.0,200.0,25.47,5.2,11,183.0,21.05,12,0.39261876717707106,0.9836065573770492,14.88,0,116,19.33333333333333,9.310344827586208,7,23,3,26,180
10.0,200.0,25.47,5.2,11,163.5,2.12,2,0.39261876717707106,1.0091743119266054,17.527222222222225,0,122,20.33333333333333,8.114754098360656,5,17,6,23,165
22.9175,121.315,56.295,5.175000000000001,11,163.5,2.12,2,0.4070965449862332,0.9908256880733946,21.506875,0,124,20.666666666666668,7.838709677419354,6,15,5,20,162
14.106666666666667,98.37333333333332,34.39,5.375,11,153.0,8.72,6,0.41019676262479404,1.0326797385620916,18.54416666666667,0,121,20.166666666666668,7.834710743801651,2,15,4,19,158
9.64,94.175,41.0,4.76,11,153.0,8.72,6,0.2351219512195122,1.0392156862745099,16.278750000000002,0,123,20.5,7.7560975609756095,7,16,1,17,159
25.0,120.0,30.0,7.0,11,164.33,17.87,6,0.8333333333333334,0.9797358972798637,14.88,0,125,20.83333333333333,7.728000000000001,16,10,5,15,161
21.29,97.83,35.98,5.53,11,164.33,17.87,6,0.5917176209005003,0.9858212134120367,21.35833333333333,0,122,20.33333333333333,7.967213114754099,8,17,2,19,162
25.0,120.0,30.0,7.0,11,189.0,12.73,2,0.8333333333333334,1.0476190476190477,21.805,0,121,20.166666666666668,9.818181818181818,5,15,11,26,198
17.6175,137.85750000000002,32.66,5.5725,11,189.0,12.73,2,0.5394213104715249,0.9523809523809523,20.409166666666668,0,124,20.666666666666668,8.709677419354838,17,9,8,17,180
20.6825,135.32,50.45,5.756666666666668,11,192.5,15.7,4,0.4099603567888999,0.9402597402597402,24.354375,0,124,20.666666666666668,8.758064516129032,13,17,6,23,181
11.5,82.89,38.57666666666667,5.1033333333333335,11,192.5,15.7,4,0.2981076643912555,0.9194805194805195,20.16375,0,126,21.0,8.428571428571429,26,11,8,19,177
28.475,146.065,24.16,5.8,11,175.5,3.54,2,1.1786009933774835,0.9857549857549858,20.178333333333335,0,124,20.666666666666668,8.370967741935484,8,14,5,19,173
16.36,95.085,33.4,6.199999999999999,11,175.5,3.54,2,0.48982035928143713,1.0142450142450143,18.569375,0,125,20.83333333333333,8.544,11,19,5,24,178
24.08,116.96,30.0,13.0,11,167.5,2.12,2,0.8026666666666666,0.991044776119403,24.265625,0,122,20.33333333333333,8.163934426229508,5,14,8,22,166
20.565,123.2375,35.75,5.69,11,167.5,2.12,2,0.5752447552447553,1.008955223880597,22.061875,0,111,18.5,9.135135135135137,0,14,8,22,169
18.61,116.61,33.49,5.505999999999999,11,183.0,21.05,12,0.5556882651537772,1.0273224043715847,21.805,0,122,20.33333333333333,9.245901639344265,8,21,7,28,188
17.6175,137.85750000000002,32.66,5.5725,11,183.0,21.05,12,0.5394213104715249,0.9234972677595629,23.117500000000003,0,121,20.166666666666668,8.380165289256198,2,7,11,18,169
25.0,120.0,30.0,7.0,11,183.0,21.05,12,0.8333333333333334,0.9289617486338798,24.354375,0,124,20.666666666666668,8.225806451612902,8,15,4,19,170
22.0,115.78,43.255,5.195,11,183.0,21.05,12,0.5086117211883019,0.8087431693989071,22.061875,0,124,20.666666666666668,7.161290322580645,10,13,4,17,148
19.526666666666667,134.55666666666667,50.45,5.756666666666668,11,159.5,2.12,2,0.3870498843739676,0.9905956112852664,21.571666666666665,0,127,21.166666666666668,7.464566929133857,10,12,4,16,158
26.735000000000003,136.5575,31.87333333333333,5.666666666666667,11,159.5,2.12,2,0.8387889562852962,1.0094043887147335,20.16375,0,116,19.33333333333333,8.327586206896552,12,16,4,20,161
17.42,129.83666666666667,35.75,5.69,11,165.6,15.06,5,0.4872727272727273,0.9178743961352658,20.350625,0,121,20.166666666666668,7.537190082644628,3,13,3,16,152
26.15,122.37,30.0,5.0,11,165.6,15.06,5,0.8716666666666666,0.9420289855072465,24.265625,0,116,19.33333333333333,8.068965517241379,10,15,4,19,156
18.61,116.61,33.49,5.505999999999999,11,158.5,21.95,4,0.5556882651537772,1.1924290220820188,21.571666666666665,0,122,20.33333333333333,9.295081967213116,5,17,7,24,189
26.735000000000003,136.5575,31.87333333333333,5.666666666666667,11,158.5,21.95,4,0.8387889562852962,1.0094637223974763,23.117500000000003,0,124,20.666666666666668,7.741935483870967,7,8,8,16,160
28.475,146.065,24.16,5.8,11,136.75,49.66,4,1.1786009933774835,1.287020109689214,17.527222222222225,0,124,20.666666666666668,8.516129032258064,9,19,3,22,176
22.9175,121.315,28.39333333333333,5.06,11,136.75,49.66,4,0.8071436957032168,0.4680073126142596,18.569375,0,51,8.5,7.529411764705882,3,5,2,7,64
20.6825,135.32,50.45,5.756666666666668,11,192.5,15.7,4,0.4099603567888999,1.0649350649350648,24.265625,0,123,20.5,10.0,10,19,7,26,205
17.42,129.83666666666667,35.75,5.69,11,192.5,15.7,4,0.4872727272727273,1.0753246753246752,20.16375,0,123,20.5,10.097560975609756,9,18,7,25,207
9.64,94.175,41.0,4.76,11,153.0,8.72,6,0.2351219512195122,1.0196078431372548,14.88,0,122,20.33333333333333,7.672131147540984,3,12,4,16,156
21.29,97.83,35.98,5.53,11,153.0,8.72,6,0.5917176209005003,1.0457516339869282,18.54416666666667,0,125,20.83333333333333,7.680000000000001,6,14,5,19,160
22.42,132.64,31.12,5.275,11,162.83,19.22,6,0.7204370179948586,0.9089234170607381,20.178333333333335,0,121,20.166666666666668,7.338842975206611,10,15,3,18,148
16.36,95.085,33.4,6.199999999999999,11,162.83,19.22,6,0.48982035928143713,0.9150647915003377,12.0,0,111,18.5,8.054054054054054,1,18,2,20,149
25.0,120.0,30.0,7.0,11,165.2,13.27,5,0.8333333333333334,1.0351089588377724,24.354375,0,107,17.833333333333332,9.588785046728972,10,16,5,21,171
16.36,95.085,33.4,6.199999999999999,11,153.0,8.72,6,0.48982035928143713,0.9607843137254902,18.54416666666667,0,122,20.33333333333333,7.229508196721312,12,10,4,14,147
9.64,94.175,41.0,4.76,11,153.0,8.72,6,0.2351219512195122,0.9019607843137255,20.178333333333335,0,124,20.666666666666668,6.677419354838709,12,13,1,14,138
10.0,200.0,25.47,5.2,11,136.75,49.66,4,0.39261876717707106,1.1115173674588665,18.569375,0,123,20.5,7.414634146341464,10,8,4,12,152
19.4,112.52666666666666,32.38,5.824999999999999,11,136.75,49.66,4,0.599135268684373,1.13345521023766,21.506875,0,117,19.5,7.948717948717949,12,11,2,13,155
25.0,120.0,30.0,7.0,11,183.0,21.05,12,0.8333333333333334,1.1967213114754098,20.409166666666668,0,126,21.0,10.428571428571429,12,10,15,25,219
25.0,120.0,30.0,7.0,11,183.0,21.05,12,0.8333333333333334,1.2240437158469946,22.061875,0,123,20.5,10.926829268292684,12,16,14,30,224
17.6175,137.85750000000002,32.66,5.5725,11,165.6,15.06,5,0.5394213104715249,0.9420289855072465,20.350625,0,126,21.0,7.428571428571429,12,15,4,19,156
22.0,115.78,43.255,5.195,11,196.5,14.85,2,0.5086117211883019,1.0534351145038168,21.571666666666665,0,123,20.5,10.097560975609756,14,20,7,27,207
26.735000000000003,136.5575,31.87333333333333,5.666666666666667,11,196.5,14.85,2,0.8387889562852962,0.9465648854961832,24.354375,0,126,21.0,8.857142857142858,9,15,8,23,186
26.15,122.37,30.0,5.0,11,134.0,5.66,2,0.8716666666666666,1.0298507462686568,24.265625,0,120,20.0,6.9,3,13,3,16,138
19.630000000000003,144.755,33.62,6.06,11,134.0,5.66,2,0.5838786436644855,0.9701492537313433,20.350625,0,123,20.5,6.341463414634147,9,9,4,13,130
22.42,132.64,31.12,5.275,11,162.83,19.22,6,0.7204370179948586,1.1422956457655222,21.506875,0,125,20.83333333333333,8.928,10,17,7,24,186
10.0,200.0,25.47,5.2,11,162.83,19.22,6,0.39261876717707106,1.160719769084321,12.0,0,113,18.83333333333333,10.035398230088497,4,25,3,28,189
